Terminated Results Sample NCT #,Target Enrollment Sample (1=included; 0=excluded),Brief Title,Primary Purpose,Intervention Model,Blinding,Allocation,Intervention Type,Study Phase,Condition Category,Lead Sponsor Type,DMC (y/n) [Not available to the public - data removed],Single Site/Multiple Sites,Location Countries,Study Start Date,First Received Date,Primary Completion Date,Study Completion Date,Results First Received Date,Why Study Stopped,Why Study Stopped - Detailed Description Text (if any),Termination Category,Enrollment (Protocol),Enrollment (Protocol) Type,First Enrollment (Protocol),First Enrollment (Protocol) Type,Enrollment = n part started Part Flow (Column W=AC),"For adjudicated enrollment, which value was determined to be correct, E=protocol; F=participant flow",Total Number of Participants Started  Part Flow,ADJUDICATED N Participants Enrolled in Trial (use for all analyses),Max N participants Analyzed Any POM,# participants enrolled / first enrollment [Column AD/Y],SeriousAENAffected,SeriousAENAtRisk,"PUBMED LISTING INFO as of 31 Dec 2013 (0 = no, 1 = yes)",PMID as of 31 Dec 2013,"Termination Categories [Column V] 
"
NCT00783614,1,Aspirin and Antiretroviral Therapy in HIV Infected Patients,Prevention,Factorial Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,"Viral Diseases|Immune System Diseases|All Conditions|Symptoms and General Pathology|Bacterial and Fungal Diseases|Urinary Tract, Sexual Organs, and Pregnancy Conditions",OTHER,,Single,United States,8-Oct,31-Oct-08,10-Jan,10-Jun,16-Jan-12,Lack of funding,,1,22,Actual,40,Anticipated,TRUE,,22,22,22,0.55,0,22,0,,2 - No Scientific Data
NCT00785772,1,A Post-Marketing Clinical Pharmacokinetics Study Of Gabapentin In Japanese Epileptic Subjects With Renal Impairment,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug|Drug|Drug,Phase 4,"Nervous System Diseases|All Conditions|Urinary Tract, Sexual Organs, and Pregnancy Conditions",INDUSTRY,,Single,Japan,10-Mar,3-Nov-08,10-Apr,10-Apr,29-Mar-11,See termination reason in detailed description.,"Only one subject was able to be enrolled. Given enrollment challenges to identify additional appropriate subjects, discussion was held with the Japan Pharmaceuticals and Medical Devices Agency (PMDA) and it was agreed with the PMDA to terminate this study. The study was terminated on December 14, 2010. The study was not terminated due to any safety findings.",2,1,Actual,10,Anticipated,TRUE,,1,1,1,0.1,0,1,0,,2 - No Scientific Data
NCT00787137,1,Single Dose PG102 in Patients With Active Psoriatic Arthritis,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 1,"Muscle, Bone, and Cartilage Diseases|All Conditions|Skin and Connective Tissue Diseases|Bacterial and Fungal Diseases|Rare Diseases",INDUSTRY,,Single,Serbia,8-Dec,6-Nov-08,10-Apr,10-May,12-Aug-10,poor recruitment,,2,17,Actual,44,Anticipated,TRUE,,17,17,17,0.39,0,17,0,,2 - No Scientific Data
NCT00787332,1,A Comparative Sudy Comparing Argatroban?? IV vs Desirudin SC for Suspected HIT With or Without Thrombosis Syndrome,Prevention,Parallel Assignment,Open Label,Randomized,Drug,Phase 4,Heart and Blood Diseases|All Conditions|Blood and Lymph Conditions|Symptoms and General Pathology|Rare Diseases,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,8-Sep,6-Nov-08,9-Dec,9-Dec,29-Nov-12,Low enrollment,,2,16,Actual,120,Anticipated,TRUE,,16,16,16,0.13,3,16,1,21079512,2 - No Scientific Data
NCT00787917,1,An Exploratory Study to Assess Multiple Doses of Omalizumab in Patients With Cystic Fibrosis Complicated by Acute Bronchopulmonary Aspergillosis (ABPA),Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug|Drug,Phase 4,Bacterial and Fungal Diseases|All Conditions|Respiratory Tract (Lung and Bronchial) Diseases|Immune System Diseases|Digestive System Diseases|Diseases and Abnormalities at or before Birth|Symptoms and General Pathology|Rare Diseases,INDUSTRY,,Multiple,Belgium|Germany|Germany|Germany|Italy|Italy|Netherlands|Netherlands|United Kingdom|United Kingdom,8-Nov,7-Nov-08,10-Jul,10-Jul,11-Jul-11,,,9,14,Actual,60,Anticipated,TRUE,,14,14,0,0.23,11,21,0,,3 - No Reason Provided
NCT00790296,1,Evaluation of Synthetic Thyrotropin Releasing Hormone (TRH) as a Treatment for Cancer-related Fatigue,Supportive Care,Crossover Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,Symptoms and General Pathology|All Conditions,OTHER,,Single,United States,6-Dec,10-Nov-08,10-Feb,10-Mar,31-Jan-11,Interim analyses showed statistically and clinically significant results.,,6,11,Actual,24,Anticipated,TRUE,,11,11,8,0.46,0,16,0,,1 - Scientific Data
NCT00790452,1,Aspirin Prophylaxis for Venous Thromboembolism in Glioblastoma,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,Cancers and Other Neoplasms|All Conditions|Heart and Blood Diseases|Blood and Lymph Conditions|Rare Diseases,OTHER,,Single,United States,8-Nov,7-Nov-08,9-Oct,9-Oct,4-Nov-11,Low accrual.,,2,1,Actual,224,Anticipated,TRUE,,1,1,0,0,0,1,0,,2 - No Scientific Data
NCT00790855,1,Bendamustine in Acute Leukemia and MDS,Treatment,Single Group Assignment,Open Label,,Drug,Phase 1|Phase 2,Cancers and Other Neoplasms|All Conditions|Blood and Lymph Conditions|Immune System Diseases|Symptoms and General Pathology|Rare Diseases,OTHER,,Single,United States,8-Nov,13-Nov-08,12-Mar,12-Mar,22-Jun-12,Lack of Response,,6,27,Actual,153,Anticipated,FALSE,F,25,25,25,0.16,3,25,0,,1 - Scientific Data
NCT00793520,1,Effect of Milnacipran on Pain Processing and Functional Magnetic Resonance Imaging (fMRI) Activation Patterns in Patients With Fibromyalgia,Treatment,Crossover Assignment,Double Blind,Randomized,Drug|Drug|Drug|Drug,Phase 3,"Muscle, Bone, and Cartilage Diseases|Nervous System Diseases|All Conditions|Symptoms and General Pathology|Skin and Connective Tissue Diseases",INDUSTRY,,Single,United States,8-Nov,17-Nov-08,9-Apr,,15-Apr-10,,,9,2,Actual,36,Anticipated,FALSE,E,1,2,0,0.06,0,2,0,,3 - No Reason Provided
NCT00793546,1,Study Evaluating Bosutinib-Exemestane Combination Vs Exemestane Alone in Post Menopausal Women With Breast Cancer,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug|Drug,Phase 2,Cancers and Other Neoplasms|Skin and Connective Tissue Diseases|All Conditions,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Australia|Belgium|Belgium|Belgium|Belgium|Canada|China|Hong Kong|Hong Kong|Hungary|India|India|Poland|South Africa|Spain|Spain|Spain,9-Feb,29-Oct-08,10-Jun,10-Jun,4-Oct-12,See termination reason in detailed description.,This study was terminated on 19 Apr 2010 due to unfavorable risk benefit ratio which did not support continuation in part 2 of the study. Even if the safety profile of the combination of Bosutinib and Exemestane was acceptable 25% of subjects had treatment related liver events including 14% of severe liver events.,5,42,Actual,224,Anticipated,TRUE,,42,42,0,0.19,9,42,0,,1 - Scientific Data
NCT00793650,1,Combination High Dose Melphalan and Autologous Peripheral Blood Stem Cell (PBSC) Transplant With Bortezomib for Multiple Myeloma: A Dose and Schedule Finding Study,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug|Procedure,Phase 1|Phase 2,Cancers and Other Neoplasms|Heart and Blood Diseases|Blood and Lymph Conditions|Immune System Diseases|All Conditions|Rare Diseases,OTHER,,Single,United States,5-May,17-Nov-08,9-Oct,11-Sep,14-Mar-12,,,9,39,Actual,40,Anticipated,TRUE,,39,39,39,0.98,6,39,1,20739431,3 - No Reason Provided
NCT00794963,1,Aggressive Treatment of Metabolic Syndrome in Patients Receiving Clozapine for Schizophrenia,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Other,,Nutritional and Metabolic Diseases|All Conditions|Symptoms and General Pathology|Behaviors and Mental Disorders|Rare Diseases,OTHER,,Single,United States,8-Nov,19-Nov-08,10-May,10-May,19-Jul-11,Difficulty recruiting,,2,8,Actual,120,Anticipated,TRUE,,8,8,3,0.07,0,8,0,,2 - No Scientific Data
NCT00795639,1,Sitaxsentan Efficacy And Safety Trial With A Randomized Prospective Assessment Of Adding Sildenafil (SR-PAAS),Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 3,Respiratory Tract (Lung and Bronchial) Diseases|All Conditions|Heart and Blood Diseases|Rare Diseases,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Argentina|Argentina|Argentina|Argentina|Bulgaria|Bulgaria|Bulgaria|Chile|China|China|China|China|China|Colombia|Costa Rica|Czech Republic|Dominican Republic|Dominican Republic|Guatemala|India|India|India|India|India|India|India|India|Malaysia|Mexico|Mexico|Mexico|Peru|Peru|Philippines|Romania|Romania|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Saudi Arabia|Serbia|Slovakia|South Africa|South Africa|South Africa|South Africa|Thailand|Thailand|Turkey|Ukraine|Ukraine,8-Dec,20-Nov-08,11-Mar,11-Mar,30-Jan-12,"Safety Issue: The trial was prematurely terminated on Dec 9, 2010, due to safety concerns, specifically new emerging evidence of hepatic injury.",,5,183,Actual,180,Anticipated,TRUE,,183,183,183,1.02,21,182,0,,1 - Scientific Data
NCT00796510,1,Study Providing Monotherapy (Sitaxsentan) And Combination Therapy (Sitaxsentan+Sildenafil) To Subjects With Pulmonary Arterial Hypertension (PAH) To Assess Long-Term Safety,Treatment,Parallel Assignment,Open Label,Non-Randomized,Drug|Drug,Phase 3,Respiratory Tract (Lung and Bronchial) Diseases|All Conditions|Heart and Blood Diseases|Rare Diseases,INDUSTRY,,Multiple,United States|Romania|Ukraine,10-Jul,20-Nov-08,11-Jan,11-Jan,9-Dec-11,"Safety Issue: The trial was prematurely terminated on Dec 9, 2010, due to safety concerns, specifically new emerging evidence of hepatic injury",,5,3,Actual,180,Anticipated,TRUE,,3,3,0,0.02,1,3,0,,1 - Scientific Data
NCT00796666,1,Study Looking at Combination Therapy (Sitaxsentan+Sildenafil) Vs. Monotherapy (Sitaxsentan Alone) SR-PAAS -Sitaxsentan Efficacy And Safety Trial With A Randomized Prospective Assessment Of Adding Sildenafil,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 3,Respiratory Tract (Lung and Bronchial) Diseases|All Conditions|Heart and Blood Diseases|Rare Diseases,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Argentina|Argentina|Argentina|Argentina|Bulgaria|Chile|China|China|China|China|Colombia|Czech Republic|India|India|India|India|India|India|India|India|India|Malaysia|Mexico|Peru|Romania|Romania|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Serbia|South Africa|Thailand|Turkey|Ukraine|Ukraine,9-May,20-Nov-08,11-Mar,11-Mar,26-Jan-12,"Safety Issue: The trial was prematurely terminated on Dec 9, 2010, due to safety concerns, specifically new emerging evidence of hepatic injury.",,5,131,Actual,180,Anticipated,TRUE,,131,131,131,0.73,29,130,0,,1 - Scientific Data
NCT00796705,1,Switching Anti-TNF-Alpha Agents in Rheumatoid Arthritis (RA),Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug|Drug,Phase 4,"Muscle, Bone, and Cartilage Diseases|All Conditions|Skin and Connective Tissue Diseases|Immune System Diseases",NIH,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,8-Nov,20-Nov-08,10-Oct,10-Oct,5-Jul-12,Lack of Enrollment,,2,13,Actual,144,Anticipated,TRUE,,13,13,13,0.09,0,13,0,,2 - No Scientific Data
NCT00803179,1,Growth Hormone Therapy for Wasting in Cystic Fibrosis,Treatment,Single Group Assignment,Open Label,,Drug,Phase 1,Digestive System Diseases|Respiratory Tract (Lung and Bronchial) Diseases|Diseases and Abnormalities at or before Birth|All Conditions|Symptoms and General Pathology|Rare Diseases,OTHER,,Single,United States,8-Nov,4-Dec-08,12-Mar,12-Mar,13-Nov-12,"Poor enrollment, patients were lost to follow up",,2,5,Actual,30,Anticipated,TRUE,,5,5,0,0.17,0,5,0,,2 - No Scientific Data
NCT00803270,1,Mixed Incontinence: Medical Or Surgical Approach?,Treatment,Single Group Assignment,Open Label,Randomized,Drug|Procedure,Phase 4,"Urinary Tract, Sexual Organs, and Pregnancy Conditions|Symptoms and General Pathology|All Conditions",NIH,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,8-Oct,4-Dec-08,9-Mar,9-Mar,26-Mar-12,Feasibility Period ended.,,10,27,Actual,425,Anticipated,TRUE,,27,27,24,0.06,0,27,0,,2 - No Scientific Data
NCT00806351,1,An Evaluation Of The Effectiveness And Safety Of Anidulafungin Compared To Caspofungin For The Treatment Of Serious Fungal Infection Due To Candida In Patients With A Dysfunctional Immune System,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 3,Bacterial and Fungal Diseases|All Conditions|Symptoms and General Pathology|Blood and Lymph Conditions|Rare Diseases,INDUSTRY,,Multiple,Bosnia and Herzegovina|France|France|Italy|Italy|Poland|Poland|Poland|Russian Federation|Slovakia,9-Aug,26-Nov-08,11-Oct,11-Oct,20-Nov-12,"The study was prematurely terminated on May 18, 2012 due to slow enrollment. The study was not terminate due to any safety issues or concerns.",,2,21,Actual,45,Anticipated,TRUE,,21,21,14,0.47,9,21,0,,2 - No Scientific Data
NCT00807209,1,Dose Finding Posterolateral Thoracotomy Study,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug|Drug|Drug|Drug,Phase 2,Nervous System Diseases|Symptoms and General Pathology|All Conditions,INDUSTRY,,Multiple,United States|United States|United States|United States|United States,8-Dec,9-Dec-08,9-Feb,9-Feb,29-Nov-11,Sponsor decision unrelated to safety,,8,3,Actual,45,Anticipated,TRUE,,3,3,2,0.07,0,3,0,,2 - No Scientific Data
NCT00807235,0,Feasibility Study of Aerosolized Surfaxin in the Prevention of Respiratory Distress Syndrome (RDS) in Premature Infants,Prevention,Parallel Assignment,Open Label,Non-Randomized,Drug|Drug,Phase 2,Respiratory Tract (Lung and Bronchial) Diseases|Diseases and Abnormalities at or before Birth|All Conditions|Symptoms and General Pathology|Rare Diseases,INDUSTRY,,Single,United States,5-Jan,10-Dec-08,5-Aug,5-Sep,2-Apr-12,Slow enrollment,,2,17,Actual,17,Actual,TRUE,,17,17,17,1,6,17,0,,2 - No Scientific Data
NCT00808899,1,Neuroblastoma Protocol 2008: Therapy for Children With Advanced Stage High Risk Neuroblastoma,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug|Drug|Procedure|Drug|Drug|Drug|Drug|Drug|Procedure|Radiation|Drug,Phase 2,Cancers and Other Neoplasms|All Conditions|Rare Diseases,OTHER,,Single,United States,8-Dec,11-Dec-08,9-Jul,9-Jul,19-Apr-10,Voluntarily closed and terminated by the PI due to lack of feasibility,,4,4,Actual,50,Anticipated,TRUE,,4,4,0,0.08,1,4,0,,2 - No Scientific Data
NCT00809185,1,RAD001(Everolimus) in Treating Patients With Myelodysplastic Syndromes,Treatment,Single Group Assignment,Open Label,,Drug|Other|Procedure,Phase 2,Cancers and Other Neoplasms|Blood and Lymph Conditions|All Conditions|Symptoms and General Pathology|Rare Diseases,OTHER,,Single,United States,5-Nov,16-Dec-08,9-Feb,9-Mar,20-Jan-12,slow accrual,,2,7,Actual,33,Anticipated,TRUE,,7,7,7,0.21,1,7,0,,2 - No Scientific Data
NCT00810576,1,Combination of Vorinostat and Bortezomib in Relapsed or Refractory T-Cell Non-Hodgkin's Lymphoma,Treatment,Single Group Assignment,Open Label,,Drug|Drug,Phase 2,Bacterial and Fungal Diseases|All Conditions|Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|Rare Diseases,OTHER,,Single,United States,9-Jan,16-Dec-08,10-Apr,10-Apr,11-Jun-10,Terminated due to slow accrual.,,2,1,Actual,40,Anticipated,TRUE,,1,1,1,0.03,0,1,0,,2 - No Scientific Data
NCT00811018,0,"A Long-Term, Open-Label Study to Evaluate the Safety of Sitaxsentan Sodium Treatment in Patients With Pulmonary Arterial Hypertension",,Single Group Assignment,Open Label,Non-Randomized,Drug,Phase 3,Heart and Blood Diseases|All Conditions|Respiratory Tract (Lung and Bronchial) Diseases|Rare Diseases,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Argentina|Argentina|Australia|Australia|Australia|Australia|Austria|Austria|Belgium|Belgium|Brazil|Brazil|Brazil|Canada|Canada|Canada|Canada|Canada|Canada|Canada|France|France|France|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Israel|Israel|Italy|Mexico|Mexico|Mexico|Netherlands|Poland|Poland|Poland|Spain|United Kingdom|United Kingdom|United Kingdom|United Kingdom,3-Mar,9-Dec-08,11-Jul,11-Jul,29-Mar-12,"This trial was prematurely terminated on Dec 9 2010 due to safety concerns, specifically emerging evidence of hepatic injury.",,5,1192,Actual,1208,Actual,TRUE,,1192,1192,1192,0.99,586,1192,0,,1 - Scientific Data
NCT00811590,1,Pilot Study of mTOR Inhibitor Therapy in Peutz-Jeghers Syndrome,Treatment,Single Group Assignment,Open Label,,Drug,Phase 2,Cancers and Other Neoplasms|Digestive System Diseases|Diseases and Abnormalities at or before Birth|Skin and Connective Tissue Diseases|All Conditions|Symptoms and General Pathology|Rare Diseases,OTHER,,Single,United States,8-Nov,17-Nov-08,11-Mar,11-Mar,6-Mar-12,The study was ended early due to low enrollment.,,2,3,Actual,10,Anticipated,TRUE,,3,3,0,0.3,0,3,0,,2 - No Scientific Data
NCT00815347,1,Bosentan for Poorly Controlled Asthma,Treatment,Crossover Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,Respiratory Tract (Lung and Bronchial) Diseases|Immune System Diseases|All Conditions,OTHER,,Single,United States,8-Dec,29-Dec-08,10-Sep,10-Sep,16-Jun-12,Difficulty in recruitment.,,2,11,Actual,20,Anticipated,TRUE,,11,11,14,0.55,1,20,1,23363065,2 - No Scientific Data
NCT00816829,0,Effect of Fenofibrate on Sleep Apnea Syndrome,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,Respiratory Tract (Lung and Bronchial) Diseases|Symptoms and General Pathology|All Conditions|Nervous System Diseases|Nutritional and Metabolic Diseases|Behaviors and Mental Disorders,INDUSTRY,,Single,France,5-Sep,2-Jan-09,8-Jan,8-Jan,8-Jan-09,The study was prematurely terminated because of slow recruitment,,2,34,Actual,71,Actual,TRUE,,34,34,34,0.48,1,,1,20297950,2 - No Scientific Data
NCT00817531,1,Efficacy Study of Dasatinib in Locally Advanced Triple-Negative Breast Cancer Patients,Treatment,Single Group Assignment,Open Label,,Drug,Phase 2,Cancers and Other Neoplasms|Skin and Connective Tissue Diseases|All Conditions,OTHER,,Single,United States,8-Dec,5-Jan-09,11-Feb,11-Feb,7-May-12,terminated due to futility after interim analysis,,6,22,Actual,45,Anticipated,TRUE,,22,22,22,0.49,1,22,0,,1 - Scientific Data
NCT00818389,1,Study to Investigate the Safety and Efficacy of Lithium in Volunteers With Amyotrophic Lateral Sclerosis (ALS),Treatment,Crossover Assignment,Double Blind,Randomized,Drug|Drug|Drug,Phase 2|Phase 3,Nervous System Diseases|Nutritional and Metabolic Diseases|All Conditions|Symptoms and General Pathology|Rare Diseases,OTHER,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada|Canada,9-Jan,6-Jan-09,9-Oct,9-Oct,10-May-10,NINDS DSMB recommended trial be terminated for futility after reviewing an interim analysis of 84 subjects.,,6,84,Actual,250,Anticipated,TRUE,,84,84,84,0.34,18,84,1,20363190,1 - Scientific Data
NCT00819637,1,A Pilot Study to Determine the Most Effective Dose of Arformoterol for Treating Acute Asthmatic Patients,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug|Drug,Phase 4,Respiratory Tract (Lung and Bronchial) Diseases|Immune System Diseases|All Conditions|Symptoms and General Pathology,OTHER,,Single,United States,9-Jan,8-Jan-09,9-Nov,9-Nov,17-Feb-10,Unable to enroll r/t study design & staffing issues. The trial terminated.,,2,2,Actual,90,Anticipated,TRUE,,2,2,2,0.02,0,2,0,,2 - No Scientific Data
NCT00819832,1,Anderson Circulating Tumor Cell Burden (CTCB) Study,Treatment,Single Group Assignment,Open Label,Randomized,Procedure|Procedure|Device,Phase 4,"Cancers and Other Neoplasms|Symptoms and General Pathology|All Conditions|Muscle, Bone, and Cartilage Diseases|Nervous System Diseases|Wounds and Injuries",OTHER,,Single,United States,8-Dec,7-Jan-09,10-May,10-May,16-Aug-10,Terminated by sponsor.,,8,3,Actual,100,Anticipated,TRUE,,3,3,0,0.03,0,3,0,,2 - No Scientific Data
NCT00820612,1,Rectal Indomethacin in the Prevention of Post-endoscopic Retrograde Cholangiopancreatography (ERCP) Pancreatitis in High Risk Patients,Prevention,Parallel Assignment,Double Blind,Randomized,Drug|Other,Phase 4,Digestive System Diseases|All Conditions,OTHER,,Multiple,United States|United States|United States|United States,9-Jan,9-Jan-09,11-Jul,11-Jul,10-Jan-13,Stopped by DSMB for overwhelming benefit of indomethacin (unethical to withhold indomethacin from patients),,6,602,Actual,870,Anticipated,TRUE,,602,602,602,0.69,13,602,1,22494121,1 - Scientific Data
NCT00821184,0,Behavioral Modification and Vesicare Versus Vesicare Alone for Urge Incontinence in Patients With Overactive Bladder,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Behavioral,Phase 3,"Urinary Tract, Sexual Organs, and Pregnancy Conditions|Symptoms and General Pathology|All Conditions",OTHER,,Single,United States,6-Sep,9-Jan-09,8-Sep,8-Sep,4-Dec-09,Insufficient subject availability/findings for data analysis,,2,12,Actual,40,Anticipated,TRUE,,12,12,12,0.3,0,12,0,,2 - No Scientific Data
NCT00823472,1,Trial Comparing Start Stimulation of Recombinant Follicle Stimulating Hormone (rFSH) on Cycle Day 2 Versus Cycle Day 5 in In Vitro Fertilization (IVF),Treatment,Parallel Assignment,Open Label,Randomized,Drug,Phase 4,Rare Diseases|All Conditions,OTHER,,Multiple,Belgium|Netherlands,9-Jan,13-Jan-09,10-Oct,10-Oct,2-Nov-10,"Inclusion of the study didn't go as fast as expected. Expect: 234 patients in 1 year in 2 centers. After 1,5 year only 147 patients were recruited.",,2,147,Actual,234,Anticipated,TRUE,,147,147,147,0.63,0,0,0,,2 - No Scientific Data
NCT00824161,1,Phase II Study of TAS-109 to Treat Advanced Colorectal Cancer,Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug,Phase 2,Cancers and Other Neoplasms|Digestive System Diseases|All Conditions,INDUSTRY,,Multiple,United States|United States|United States,9-Jan,14-Jan-09,9-Nov,10-Dec,21-Jun-11,,,9,28,Actual,54,Anticipated,TRUE,,28,28,28,0.52,9,26,0,,3 - No Reason Provided
NCT00825227,1,Safety and Efficacy of Armodafinil for Fatigue Associated With Taxanes Alone or in Combination With Other Agents,Treatment,Parallel Assignment,Double Blind,Randomized,Drug|Drug,Phase 2,Symptoms and General Pathology|All Conditions,INDUSTRY,,Multiple,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States,8-Dec,15-Jan-09,9-Oct,10-Feb,28-Jul-11,,,9,10,Actual,160,Anticipated,TRUE,,10,10,0,0.06,4,10,0,,3 - No Reason Provided
NCT00827099,1,"Umbilical Cord Blood (UCB) Transplant, Fludarabine, Melphalan, and Anti-thymocyte Globulin (ATG) in Treating Patients With Hematologic Cancer",Treatment,Single Group Assignment,Open Label,,Biological|Drug|Drug|Drug|Drug|Procedure,Phase 2,Bacterial and Fungal Diseases|All Conditions|Cancers and Other Neoplasms|Blood and Lymph Conditions|Immune System Diseases|Heart and Blood Diseases|Symptoms and General Pathology|Diseases and Abnormalities at or before Birth|Rare Diseases,OTHER,,Single,United States,6-Jun,21-Jan-09,9-Nov,9-Nov,28-Jul-11,Unacceptable morbidity & mortality,,5,5,Actual,21,Anticipated,TRUE,,5,5,5,0.24,0,5,0,,1 - Scientific Data
NCT00827567,1,Trial of RAD001 in Triple Negative Metastatic Breast Cancer,Treatment,Single Group Assignment,Open Label,,Drug,Phase 2,Cancers and Other Neoplasms|Skin and Connective Tissue Diseases|All Conditions,OTHER,,Single,United States,9-Apr,21-Jan-09,11-Feb,11-Feb,16-Aug-11,Slow accrual,,2,6,Actual,30,Anticipated,FALSE,F,4,4,0,0.13,0,4,0,,2 - No Scientific Data
NCT00829049,0,Safety and Efficacy of Tazarotene Cream 0.1% Compared With Adapalene Gel 0.3% in the Treatment of Moderate to Severe Facial Acne Vulgaris,Treatment,Parallel Assignment,Single Blind,Randomized,Drug|Drug,Phase 4,Skin and Connective Tissue Diseases|All Conditions|Symptoms and General Pathology,INDUSTRY,,Single,United States,7-Oct,22-Jan-09,8-Oct,8-Oct,22-Sep-11,Study enrollment was terminated due to company decision before the target enrollment of 220 patients was reached.,,8,165,Actual,180,Actual,TRUE,,165,165,135,0.92,0,157,1,20480800,2 - No Scientific Data
NCT00830791,1,A Single Dose Study to Investigate the Pharmacokinetics of MK-0941 in Participants With Renal Insufficiency (MK-0941-015-02),Treatment,Single Group Assignment,Open Label,Non-Randomized,Drug|Drug,Phase 1,"Urinary Tract, Sexual Organs, and Pregnancy Conditions|All Conditions|Nutritional and Metabolic Diseases|Gland and Hormone Related Diseases",INDUSTRY,,,,9-Jan,26-Jan-09,9-Aug,9-Sep,1-May-12,,,9,32,Actual,48,Anticipated,TRUE,,32,32,16,0.67,0,32,0,,3 - No Reason Provided
NCT00831233,1,Symptomatic Study Investigating Degarelix in Patients Suffering From Prostate Cancer,Treatment,Parallel Assignment,Open Label,Randomized,Drug|Drug|Drug,Phase 3,"Cancers and Other Neoplasms|Urinary Tract, Sexual Organs, and Pregnancy Conditions|All Conditions|Symptoms and General Pathology",INDUSTRY,,Multiple,Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|Spain|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom|United Kingdom,9-Apr,27-Jan-09,10-Jun,10-Jul,14-Jun-11,Poor recruitment due to rare targeted population,,2,42,Actual,280,Anticipated,TRUE,,42,42,40,0.15,1,40,1,23258223,2 - No Scientific Data
NCT00831493,1,Vorinostat Plus Radiation Therapy in Pancreatic Cancer,Treatment,Single Group Assignment,Open Label,,Radiation|Drug,Phase 1|Phase 2,Cancers and Other Neoplasms|Digestive System Diseases|Gland and Hormone Related Diseases|All Conditions|Rare Diseases,OTHER,,Single,United States,9-May,27-Jan-09,10-Oct,10-Oct,13-Feb-12,Slow Accrual.,,2,3,Actual,37,Anticipated,TRUE,,3,3,2,0.08,0,3,0,,2 - No Scientific Data
